service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S000001,1,1,1,1,1,0,0,20240104,20240628
S000002,1,1,1,1,1,1,1,20240104,20240630
S000003,1,1,1,1,1,1,1,20240101,20240630
S000004,1,1,1,1,1,0,0,20240401,20240628
S000005,1,1,1,1,1,1,1,20240401,20240630
S000006,1,1,1,1,1,0,0,20240104,20240329
S000007,1,1,1,1,1,1,1,20240101,20240331
S000008,1,1,1,1,1,1,1,20240104,20240331
S000009,1,1,1,1,1,0,0,20240301,20240628
S000010,1,1,1,1,1,1,1,20240301,20240630
S000011,1,1,1,1,1,0,0,20240104,20240229
S000012,1,1,1,1,1,1,1,20240101,20240229
S000013,1,1,1,1,1,1,1,20240104,20240229
S000014,0,0,0,0,0,1,1,20240302,20240630
S000015,0,0,0,0,0,1,1,20240106,20240225
S000016,0,0,0,0,0,1,1,20240101,20240225
S000017,0,0,0,0,0,1,1,20240106,20240630
S000018,1,1,1,1,1,0,0,20240109,20240628
S000019,1,1,1,1,1,1,0,20240101,20240629
S000020,0,0,0,0,0,1,1,20240101,20240630
S000021,1,1,1,1,1,0,0,20240102,20240628
S000022,1,1,1,1,1,1,0,20240102,20240629
S000023,0,0,0,0,0,1,1,20240101,20240630
S000024,1,1,1,1,1,1,0,20240104,20240629
