service_id,date,exception_type
S000001,20240108,2
S000001,20240212,2
S000001,20240223,2
S000001,20240320,2
S000001,20240429,2
S000001,20240503,2
S000001,20240506,2
S000004,20240429,2
S000004,20240503,2
S000004,20240506,2
S000006,20240108,2
S000006,20240212,2
S000006,20240223,2
S000006,20240320,2
S000009,20240320,2
S000009,20240429,2
S000009,20240503,2
S000009,20240506,2
S000011,20240108,2
S000011,20240212,2
S000011,20240223,2
S000014,20240320,1
S000014,20240429,1
S000014,20240503,1
S000014,20240506,1
S000015,20240108,1
S000015,20240212,1
S000015,20240223,1
S000016,20240101,1
S000016,20240102,1
S000016,20240103,1
S000016,20240108,1
S000016,20240212,1
S000016,20240223,1
S000017,20240108,1
S000017,20240212,1
S000017,20240223,1
S000017,20240320,1
S000017,20240429,1
S000017,20240503,1
S000017,20240506,1
S000018,20240112,2
S000018,20240205,2
S000018,20240206,2
S000018,20240207,2
S000018,20240208,2
S000018,20240209,2
S000018,20240212,2
S000018,20240213,2
S000018,20240214,2
S000018,20240215,2
S000018,20240216,2
S000018,20240219,2
S000018,20240220,2
S000018,20240221,2
S000018,20240222,2
S000018,20240223,2
S000018,20240226,2
S000018,20240227,2
S000018,20240228,2
S000018,20240229,2
S000018,20240301,2
S000018,20240304,2
S000018,20240305,2
S000018,20240306,2
S000018,20240307,2
S000018,20240308,2
S000018,20240311,2
S000018,20240312,2
S000018,20240313,2
S000018,20240314,2
S000018,20240315,2
S000018,20240318,2
S000018,20240319,2
S000018,20240320,2
S000018,20240321,2
S000018,20240322,2
S000018,20240325,2
S000018,20240326,2
S000018,20240327,2
S000018,20240328,2
S000018,20240329,2
S000018,20240429,2
S000018,20240503,2
S000018,20240506,2
S000019,20240108,2
S000019,20240212,2
S000019,20240223,2
S000019,20240320,2
S000019,20240429,2
S000019,20240503,2
S000019,20240504,2
S000019,20240506,2
S000020,20240101,1
S000020,20240108,1
S000020,20240212,1
S000020,20240223,1
S000020,20240320,1
S000020,20240429,1
S000020,20240503,1
S000020,20240506,1
S000021,20240108,2
S000021,20240212,2
S000021,20240223,2
S000021,20240320,2
S000021,20240429,2
S000021,20240503,2
S000021,20240506,2
S000022,20240108,2
S000022,20240212,2
S000022,20240223,2
S000022,20240320,2
S000022,20240429,2
S000022,20240503,2
S000022,20240504,2
S000022,20240506,2
S000023,20240101,1
S000023,20240102,1
S000023,20240103,1
S000023,20240108,1
S000023,20240212,1
S000023,20240223,1
S000023,20240320,1
S000023,20240429,1
S000023,20240503,1
S000023,20240506,1
S000024,20240108,2
S000024,20240212,2
S000024,20240223,2
S000024,20240320,2
S000024,20240429,2
S000024,20240503,2
S000024,20240504,2
S000024,20240506,2
