pass_id,route_id,origin_id,destination_id
P270600612001,R270600001,Z003260,Z002880
P270600612001,R270600001,Z003260,Z004960
P270600612001,R270600001,Z003260,Z001320
P270600720001,R270600001,Z003260,Z001770
P270600720001,R270600001,Z003260,Z002500
P270600720001,R270600001,Z003260,Z000770
P270600720001,R270600001,Z003260,Z000000
P270600792001,R270600001,Z003260,Z002320
P270600900001,R270600001,Z003260,Z004130
P270601008001,R270600001,Z003260,Z003060
P270600612001,R270600001,Z002880,Z004960
P270600612001,R270600001,Z002880,Z001320
P270600720001,R270600001,Z002880,Z001770
P270600720001,R270600001,Z002880,Z002500
P270600720001,R270600001,Z002880,Z000770
P270600720001,R270600001,Z002880,Z000000
P270600792001,R270600001,Z002880,Z002320
P270600900001,R270600001,Z002880,Z004130
P270601008001,R270600001,Z002880,Z003060
P270600612001,R270600001,Z004960,Z001320
P270600720001,R270600001,Z004960,Z001770
P270600720001,R270600001,Z004960,Z002500
P270600720001,R270600001,Z004960,Z000770
P270600720001,R270600001,Z004960,Z000000
P270600792001,R270600001,Z004960,Z002320
P270600900001,R270600001,Z004960,Z004130
P270601008001,R270600001,Z004960,Z003060
P270600612001,R270600001,Z001320,Z001770
P270600612001,R270600001,Z001320,Z002500
P270600612001,R270600001,Z001320,Z000770
P270600612001,R270600001,Z001320,Z000000
P270600612001,R270600001,Z001320,Z002320
P270600648001,R270600001,Z001320,Z004130
P270600720001,R270600001,Z001320,Z003060
P270600612001,R270600001,Z001770,Z002500
P270600612001,R270600001,Z001770,Z000770
P270600612001,R270600001,Z001770,Z000000
P270600612001,R270600001,Z001770,Z002320
P270600648001,R270600001,Z001770,Z004130
P270600720001,R270600001,Z001770,Z003060
P270600612001,R270600001,Z002500,Z000770
P270600612001,R270600001,Z002500,Z000000
P270600612001,R270600001,Z002500,Z002320
P270600612001,R270600001,Z002500,Z004130
P270600648001,R270600001,Z002500,Z003060
P270600612001,R270600001,Z000770,Z000000
P270600612001,R270600001,Z000770,Z002320
P270600612001,R270600001,Z000770,Z004130
P270600648001,R270600001,Z000770,Z003060
P270600612001,R270600001,Z000000,Z002320
P270600612001,R270600001,Z000000,Z004130
P270600612001,R270600001,Z000000,Z003060
P270600612001,R270600001,Z002320,Z004130
P270600612001,R270600001,Z002320,Z003060
P270600612001,R270600001,Z004130,Z003060
P270600612001,R270600001,Z002880,Z003260
P270600612001,R270600001,Z004960,Z003260
P270600612001,R270600001,Z001320,Z003260
P270600720001,R270600001,Z001770,Z003260
P270600720001,R270600001,Z002500,Z003260
P270600720001,R270600001,Z000770,Z003260
P270600720001,R270600001,Z000000,Z003260
P270600792001,R270600001,Z002320,Z003260
P270600900001,R270600001,Z004130,Z003260
P270601008001,R270600001,Z001600,Z003260
P270601008001,R270600001,Z003060,Z003260
P270600612001,R270600001,Z004960,Z002880
P270600612001,R270600001,Z001320,Z002880
P270600720001,R270600001,Z001770,Z002880
P270600720001,R270600001,Z002500,Z002880
P270600720001,R270600001,Z000770,Z002880
P270600720001,R270600001,Z000000,Z002880
P270600792001,R270600001,Z002320,Z002880
P270600900001,R270600001,Z004130,Z002880
P270601008001,R270600001,Z001600,Z002880
P270601008001,R270600001,Z003060,Z002880
P270600612001,R270600001,Z001320,Z004960
P270600720001,R270600001,Z001770,Z004960
P270600720001,R270600001,Z002500,Z004960
P270600720001,R270600001,Z000770,Z004960
P270600720001,R270600001,Z000000,Z004960
P270600792001,R270600001,Z002320,Z004960
P270600900001,R270600001,Z004130,Z004960
P270601008001,R270600001,Z001600,Z004960
P270601008001,R270600001,Z003060,Z004960
P270600612001,R270600001,Z001770,Z001320
P270600612001,R270600001,Z002500,Z001320
P270600612001,R270600001,Z000770,Z001320
P270600612001,R270600001,Z000000,Z001320
P270600612001,R270600001,Z002320,Z001320
P270600648001,R270600001,Z004130,Z001320
P270600720001,R270600001,Z001600,Z001320
P270600720001,R270600001,Z003060,Z001320
P270600612001,R270600001,Z002500,Z001770
P270600612001,R270600001,Z000770,Z001770
P270600612001,R270600001,Z000000,Z001770
P270600612001,R270600001,Z002320,Z001770
P270600648001,R270600001,Z004130,Z001770
P270600720001,R270600001,Z001600,Z001770
P270600720001,R270600001,Z003060,Z001770
P270600612001,R270600001,Z000770,Z002500
P270600612001,R270600001,Z000000,Z002500
P270600612001,R270600001,Z002320,Z002500
P270600612001,R270600001,Z004130,Z002500
P270600648001,R270600001,Z001600,Z002500
P270600648001,R270600001,Z003060,Z002500
P270600612001,R270600001,Z000000,Z000770
P270600612001,R270600001,Z002320,Z000770
P270600612001,R270600001,Z004130,Z000770
P270600648001,R270600001,Z001600,Z000770
P270600648001,R270600001,Z003060,Z000770
P270600612001,R270600001,Z002320,Z000000
P270600612001,R270600001,Z004130,Z000000
P270600612001,R270600001,Z001600,Z000000
P270600612001,R270600001,Z003060,Z000000
P270600612001,R270600001,Z004130,Z002320
P270600612001,R270600001,Z001600,Z002320
P270600612001,R270600001,Z003060,Z002320
P270600612001,R270600001,Z001600,Z004130
P270600612001,R270600001,Z003060,Z004130
P270600612001,R270600001,Z003060,Z001600
P270600612001,R270600002,Z003260,Z004730
P270600612001,R270600002,Z003260,Z001140
P270600612001,R270600002,Z003260,Z004740
P270600612001,R270600002,Z003260,Z001610
P270600612001,R270600002,Z003260,Z003730
P270600720001,R270600002,Z003260,Z005310
P270600720001,R270600002,Z003260,Z000000
P270600792001,R270600002,Z003260,Z002320
P270600900001,R270600002,Z003260,Z004130
P270601008001,R270600002,Z003260,Z003060
P270601008001,R270600002,Z003260,Z001600
P270601008001,R270600002,Z003260,Z000930
P270601188001,R270600002,Z003260,Z001780
P270601368001,R270600002,Z003260,Z001870
P270601404001,R270600002,Z003260,Z004040
P270601404001,R270600002,Z003260,Z003570
P270601548001,R270600002,Z003260,Z005270
P270601692001,R270600002,Z003260,Z006120
P270601692001,R270600002,Z003260,Z000120
P270601692001,R270600002,Z003260,Z003410
P270601764001,R270600002,Z003260,Z000030
P270601836001,R270600002,Z003260,Z004500
P270601836001,R270600002,Z003260,Z004480
P270601836001,R270600002,Z003260,Z004490
P270601872001,R270600002,Z003260,Z004670
P270601872001,R270600002,Z003260,Z004660
P270602052001,R270600002,Z003260,Z004360
P270602160001,R270600002,Z003260,Z000700
P270602160001,R270600002,Z003260,Z000690
P270602160001,R270600002,Z003260,Z000710
P270602232001,R270600002,Z003260,Z000430
P270602232001,R270600002,Z003260,Z002100
P270602340001,R270600002,Z003260,Z002130
P270602340001,R270600002,Z003260,Z000100
