route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
R270600001,3270001000564,,３０大森中央病院線,,3,,,,
R270600002,3270001000564,,３２Ｈ岩美岩井線,,3,,,,
R270600003,3270001000564,,３２岩美岩井線,,3,,,,
R270600004,3270001000564,,３３岩美岩井線,,3,,,,
R270600005,3270001000564,,３５／３６Ｈ十六本松線,,3,,,,
R270600006,3270001000564,,３５十六本松線,,3,,,,
R270600007,3270001000564,,３６Ｈ／３５十六本松線,,3,,,,
R270600008,3270001000564,,３６Ｈ十六本松線,,3,,,,
R270600009,3270001000564,,３７／３５十六本松線,,3,,,,
R270600010,3270001000564,,３８Ｈ北園団地線,,3,,,,
R270600011,3270001000564,,３８北園団地線,,3,,,,
R270600012,3270001000564,,３９鳥取砂丘線,,3,,,,
R270600013,3270001000564,,６１雲山市立病院線,,3,,,,
R270600014,3270001000564,,６２雲山市立病院線,,3,,,,
R270600015,3270001000564,,６３雲山市立病院線,,3,,,,
R270600016,3270001000564,,６６津ノ井倉田循環線,,3,,,,
R270600017,3270001000564,,６７Ｈ八坂線,,3,,,,
R270600018,3270001000564,,６７八坂線,,3,,,,
R270600019,3270001000564,,６９市立病院線,,3,,,,
R270600020,3270001000564,,７０八頭若桜線,,3,,,,
R270600021,3270001000564,,７１桜谷面影循環線,,3,,,,
R270600022,3270001000564,,７２桜谷面影循環線,,3,,,,
R270600023,3270001000564,,７３面影若葉台循環線,,3,,,,
R270600024,3270001000564,,７５Ｂ津ノ井若葉台循環線,,3,,,,
R270600025,3270001000564,,７５Ｌ津ノ井若葉台循環線,,3,,,,
R270600026,3270001000564,,７５津ノ井若葉台循環線,,3,,,,
R270600029,3270001000564,,７６津ノ井倉田循環線,,3,,,,
R270600030,3270001000564,,７７Ｌ八頭若桜線,,3,,,,
R270600031,3270001000564,,７７八頭若桜線,,3,,,,
R270600032,3270001000564,,７８Ｈ桜谷市立病院線,,3,,,,
R270600033,3270001000564,,７８桜谷市立病院線,,3,,,,
R270600035,3270001000564,,パークスクエア線,,3,,,,
R270600037,3270001000564,,下市線,,3,,,,
R270600039,3270001000564,,皆生線,,3,,,,
R270600042,3270001000564,,皆生日吉津循環線,,3,,,,
R270600043,3270001000564,,関金・山口線,,3,,,,
R270600044,3270001000564,,関金線,,3,,,,
R270600045,3270001000564,,橋津線,,3,,,,
R270600049,3270001000564,,広瀬線,,3,,,,
R270600050,3270001000564,,三柳・富益線,,3,,,,
R270600051,3270001000564,,市内線,,3,,,,
R270600052,3270001000564,,松崎・北方線,,3,,,,
R270600053,3270001000564,,水浜線,,3,,,,
R270600054,3270001000564,,大山・本宮線,,3,,,,
R270600059,3270001000564,,大山町内路線,,3,,,,
R270600060,3270001000564,,福万線,,3,,,,
R270600061,3270001000564,,北条線,,3,,,,
R270600063,3270001000564,,淀江線,,3,,,,
