stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
S270600000100100,鳥取駅,35.4947897014609,134.225311773636,Z003260,0,,,,,,,０
S270600000100300,鳥取駅,35.4948417637813,134.224652108737,Z003260,0,,,,,,,７
S270600000100500,鳥取駅,35.4948330968595,134.225207614824,Z003260,0,,,,,,,おりば
S270600000100600,鳥取駅,35.4949893154,134.224617384609,Z003260,0,,,,,,,３
S270600000100700,鳥取駅,35.4947983699615,134.224825705772,Z003260,0,,,,,,,６
S270600000200100,太平線,35.4969596174485,134.226526868779,Z002880,0,,,,,,,
S270600000200200,太平線,35.4969596150798,134.226422711444,Z002880,0,,,,,,,
S270600000300100,南町,35.4999280104943,134.225901823826,Z004960,0,,,,,,,
S270600000300200,南町,35.4999019702549,134.225832386489,Z004960,0,,,,,,,
S270600000400100,行徳口,35.5026707296117,134.225033752758,Z001320,0,,,,,,,
S270600000400200,行徳口,35.5027054494042,134.2251031898,Z001320,0,,,,,,,
S270600000500100,寿町,35.5055436491226,134.224478149257,Z001770,0,,,,,,,
S270600000500200,寿町,35.5054915741719,134.224582308363,Z001770,0,,,,,,,
S270600000600100,新品治町,35.5075660087279,134.22551965381,Z002500,0,,,,,,,
S270600000600200,新品治町,35.507609404125,134.225415494999,Z002500,0,,,,,,,
S270600000700100,大森神社前,35.5103955778398,134.227047198448,Z000770,0,,,,,,,
S270600000700200,大森神社前,35.5104302944731,134.226977759043,Z000770,0,,,,,,,
S270600000800100,相生町,35.5126522648385,134.227185998105,Z000000,0,,,,,,,
S270600000800200,相生町,35.5125915048065,134.227047123727,Z000000,0,,,,,,,
S270600000900100,城北団地,35.515516432086,134.223436236621,Z002320,0,,,,,,,
S270600000900200,城北団地,35.5148307718708,134.2245125524,Z002320,0,,,,,,,
S270600001000100,東秋里,35.5191443605041,134.217950493622,Z004130,0,,,,,,,
S270600001000200,東秋里,35.5189968057322,134.217846341311,Z004130,0,,,,,,,
S270600001100100,血液センター前,35.5225813963868,134.214999252242,Z001600,0,,,,,,,
S270600001200100,中央病院,35.5223556695689,134.212430045738,Z003060,0,,,鳥取市,,,,
S270600001200200,中央病院,35.5222688740387,134.212430048691,Z003060,0,,,鳥取市,,,,
S270600001300100,本通り,35.4968815591079,134.22906136661,Z004730,0,,,,,,,
S270600001300200,本通り,35.4972113947719,134.229616861186,Z004730,0,,,,,,,
S270600001400100,川端一丁目,35.4986261975137,134.231179173114,Z001140,0,,,,,,,
S270600001400200,川端一丁目,35.4987129906787,134.231075012825,Z001140,0,,,,,,,
S270600001500100,本町一丁目,35.500379515476,134.233296979313,Z004740,0,,,鳥取市,,,,
S270600001500200,本町一丁目,35.5003534712873,134.233053946415,Z004740,0,,,鳥取市,,,,
S270600001600100,県庁日赤前,35.5026970296883,134.236525777892,Z001610,0,,,,,,,
S270600001600200,県庁日赤前,35.5028706191761,134.236456333763,Z001610,0,,,,,,,
S270600001700100,西町,35.5058042710844,134.234824435684,Z003730,0,,,鳥取市,,,,
S270600001700200,西町,35.5059431368283,134.234511958952,Z003730,0,,,鳥取市,,,,
S270600001800100,湯所,35.5093454395711,134.230901055561,Z005310,0,,,,,,,
S270600001800200,湯所,35.5094322374736,134.231005209943,Z005310,0,,,,,,,
S270600001900100,覚寺口,35.5221043187668,134.22808837327,Z000930,0,,,,,,,
S270600001900200,覚寺口,35.5240485805363,134.229928419955,Z000930,0,,,,,,,
S270600002000100,子供の国入口,35.5340821667521,134.230934932421,Z001780,0,,,,,,,
S270600002000200,子供の国入口,35.5334398711383,134.230553044085,Z001780,0,,,,,,,
S270600002100100,砂丘東口,35.5385957089958,134.238607702073,Z001870,0,,,,,,,
S270600002100200,砂丘東口,35.5387172227369,134.238607697931,Z001870,0,,,,,,,
S270600002200100,浜湯山,35.5410261989243,134.248051217349,Z004040,0,,,,,,,
S270600002200200,浜湯山,35.5409480821567,134.248016500902,Z004040,0,,,,,,,
