table_name,field_name,language,translation,record_id,record_sub_id
agency,agency_name,ja,日本交通,3270001000564,
agency,agency_name,zh-Hans,日本交通,3270001000564,
agency,agency_name,zh-Hant,日本交通,3270001000564,
agency,agency_name,en,Nihon Kotsu,3270001000564,
agency,agency_name,ja-HrKt,ニホンコウツウ,3270001000564,
agency,agency_name,ko,니혼코쓰,3270001000564,
routes,route_long_name,ja,３０大森中央病院線,R270600001,
routes,route_long_name,zh-Hans,３０大森中央医院线,R270600001,
routes,route_long_name,zh-Hant,３０大森中央醫院線,R270600001,
routes,route_long_name,en,30 Omori Central Hospital Line,R270600001,
routes,route_long_name,ja-HrKt,サンジュウオオモリチュウオウビョウインセン,R270600001,
routes,route_long_name,ko,30오모리추오뵤인선,R270600001,
routes,route_long_name,ja,３２Ｈ岩美岩井線,R270600002,
routes,route_long_name,zh-Hans,３２Ｈ岩美岩井线,R270600002,
routes,route_long_name,zh-Hant,３２Ｈ岩美岩井線,R270600002,
routes,route_long_name,en,32H Iwami Iwai Line,R270600002,
routes,route_long_name,ja-HrKt,サンジュウニエイチイワミイワイセン,R270600002,
routes,route_long_name,ko,32H이와미이와이선,R270600002,
routes,route_long_name,ja,３２岩美岩井線,R270600003,
routes,route_long_name,zh-Hans,３２岩美岩井线,R270600003,
routes,route_long_name,zh-Hant,３２岩美岩井線,R270600003,
routes,route_long_name,en,32 Iwami Iwai Line,R270600003,
routes,route_long_name,ja-HrKt,サンジュウニイワミイワイセン,R270600003,
routes,route_long_name,ko,32이와미이와이선,R270600003,
routes,route_long_name,ja,３３岩美岩井線,R270600004,
routes,route_long_name,zh-Hans,３３岩美岩井线,R270600004,
routes,route_long_name,zh-Hant,３３岩美岩井線,R270600004,
routes,route_long_name,en,33 Iwami Iwai Line,R270600004,
routes,route_long_name,ja-HrKt,サンジュウサンイワミイワイセン,R270600004,
routes,route_long_name,ko,33이와미이와이선,R270600004,
routes,route_long_name,ja,３５／３６Ｈ十六本松線,R270600005,
routes,route_long_name,zh-Hans,３５／３６Ｈ十六本松线,R270600005,
routes,route_long_name,zh-Hant,３５／３６Ｈ十六本松線,R270600005,
routes,route_long_name,en,35/36H Juroppommatsu Line,R270600005,
routes,route_long_name,ja-HrKt,サンジュウゴジュウロッポンマツセン,R270600005,
routes,route_long_name,ko,35/36H주롯폰마쓰선,R270600005,
routes,route_long_name,ja,３５十六本松線,R270600006,
routes,route_long_name,zh-Hans,３５十六本松线,R270600006,
routes,route_long_name,zh-Hant,３５十六本松線,R270600006,
routes,route_long_name,en,35 Juroppommatsu Line,R270600006,
routes,route_long_name,ja-HrKt,サンジュウゴジュウロッポンマツセン,R270600006,
routes,route_long_name,ko,35주롯폰마쓰선,R270600006,
routes,route_long_name,ja,３６Ｈ／３５十六本松線,R270600007,
routes,route_long_name,zh-Hans,３６Ｈ／３５十六本松线,R270600007,
routes,route_long_name,zh-Hant,３６Ｈ／３５十六本松線,R270600007,
