route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,jp_trip_desc,jp_trip_desc_symbol,jp_office_id
R270600001,S000001,T2706000001,中央病院（鳥取市）,,0,,,0,0,,,
R270600001,S000001,T2706000002,中央病院（鳥取市）,,0,,,0,0,,,
R270600001,S000001,T2706000003,鳥取駅,,1,,,0,0,,,
R270600001,S000001,T2706000004,鳥取駅,,1,,,0,0,,,
R270600002,S000001,T2706000005,蕪島,,0,,,0,0,,,
R270600002,S000002,T2706000006,蕪島,,0,,,0,0,,,
R270600002,S000003,T2706000007,蕪島,,0,,,0,0,,,
R270600002,S000002,T2706000008,鳥取駅,,1,,,0,0,,,
R270600002,S000001,T2706000009,鳥取駅,,1,,,0,0,,,
R270600002,S000003,T2706000010,鳥取駅,,1,,,0,0,,,
R270600003,S000002,T2706000011,蕪島,,0,,,0,0,,,
R270600003,S000003,T2706000012,蕪島,,0,,,0,0,,,
R270600003,S000003,T2706000013,蕪島,,0,,,0,0,,,
R270600003,S000001,T2706000014,蕪島,,0,,,0,0,,,
R270600003,S000001,T2706000015,蕪島,,0,,,0,0,,,
R270600003,S000003,T2706000016,蕪島,,0,,,0,0,,,
R270600003,S000001,T2706000017,蕪島,,0,,,0,0,,,
R270600003,S000002,T2706000018,蕪島,,0,,,0,0,,,
R270600003,S000001,T2706000019,蕪島,,0,,,0,0,,,
R270600003,S000001,T2706000020,鳥取駅,,1,,,0,0,,,
R270600003,S000001,T2706000021,鳥取駅,,1,,,0,0,,,
R270600003,S000001,T2706000022,鳥取駅,,1,,,0,0,,,
R270600003,S000003,T2706000023,鳥取駅,,1,,,0,0,,,
R270600003,S000003,T2706000024,鳥取駅,,1,,,0,0,,,
R270600003,S000001,T2706000025,鳥取駅,,1,,,0,0,,,
R270600003,S000001,T2706000026,鳥取駅,,1,,,0,0,,,
R270600003,S000002,T2706000027,鳥取駅,,1,,,0,0,,,
R270600004,S000001,T2706000028,長谷橋,,0,,,0,0,,,
R270600004,S000002,T2706000029,長谷橋,,0,,,0,0,,,
R270600004,S000001,T2706000030,長谷橋,,0,,,0,0,,,
R270600004,S000001,T2706000031,長谷橋,,0,,,0,0,,,
R270600004,S000001,T2706000032,長谷橋,,0,,,0,0,,,
R270600004,S000003,T2706000033,長谷橋,,0,,,0,0,,,
R270600004,S000003,T2706000034,長谷橋,,0,,,0,0,,,
R270600004,S000002,T2706000035,長谷橋,,0,,,0,0,,,
R270600004,S000002,T2706000036,鳥取駅,,1,,,0,0,,,
R270600004,S000002,T2706000037,鳥取駅,,1,,,0,0,,,
R270600004,S000003,T2706000038,鳥取駅,,1,,,0,0,,,
R270600004,S000001,T2706000039,鳥取駅,,1,,,0,0,,,
R270600004,S000003,T2706000040,鳥取駅,,1,,,0,0,,,
R270600004,S000001,T2706000041,鳥取駅,,1,,,0,0,,,
R270600004,S000001,T2706000042,鳥取駅,,1,,,0,0,,,
R270600004,S000003,T2706000043,鳥取駅,,1,,,0,0,,,
R270600004,S000002,T2706000044,鳥取駅,,1,,,0,0,,,
R270600005,S000004,T2706000045,鳥取駅,,0,,,0,0,,,
R270600005,S000005,T2706000046,鳥取駅,,0,,,0,0,,,
R270600005,S000005,T2706000047,鳥取駅,,0,,,0,0,,,
R270600005,S000006,T2706000048,鳥取駅,,0,,,0,0,,,
R270600005,S000007,T2706000049,鳥取駅,,0,,,0,0,,,
R270600005,S000008,T2706000050,鳥取駅,,0,,,0,0,,,
R270600006,S000005,T2706000051,鳥取駅,,0,,,0,0,,,
R270600006,S000004,T2706000052,鳥取駅,,0,,,0,0,,,
R270600006,S000004,T2706000053,鳥取駅,,0,,,0,0,,,
R270600006,S000005,T2706000054,鳥取駅,,0,,,0,0,,,
R270600006,S000004,T2706000055,鳥取駅,,0,,,0,0,,,
R270600006,S000004,T2706000056,鳥取駅,,0,,,0,0,,,
R270600006,S000005,T2706000057,鳥取駅,,0,,,0,0,,,
R270600006,S000004,T2706000058,鳥取駅,,0,,,0,0,,,
R270600006,S000005,T2706000059,鳥取駅,,0,,,0,0,,,
R270600006,S000005,T2706000060,鳥取駅,,0,,,0,0,,,
R270600006,S000004,T2706000061,鳥取駅,,0,,,0,0,,,
R270600006,S000004,T2706000062,鳥取駅,,0,,,0,0,,,
R270600006,S000005,T2706000063,鳥取駅,,0,,,0,0,,,
R270600006,S000004,T2706000064,鳥取駅,,0,,,0,0,,,
R270600006,S000008,T2706000065,鳥取駅,,0,,,0,0,,,
R270600006,S000006,T2706000066,鳥取駅,,0,,,0,0,,,
R270600006,S000006,T2706000067,鳥取駅,,0,,,0,0,,,
R270600006,S000007,T2706000068,鳥取駅,,0,,,0,0,,,
R270600006,S000006,T2706000069,鳥取駅,,0,,,0,0,,,
R270600006,S000006,T2706000070,鳥取駅,,0,,,0,0,,,
R270600006,S000007,T2706000071,鳥取駅,,0,,,0,0,,,
R270600006,S000006,T2706000072,鳥取駅,,0,,,0,0,,,
R270600006,S000007,T2706000073,鳥取駅,,0,,,0,0,,,
R270600006,S000008,T2706000074,鳥取駅,,0,,,0,0,,,
R270600006,S000006,T2706000075,鳥取駅,,0,,,0,0,,,
R270600006,S000006,T2706000076,鳥取駅,,0,,,0,0,,,
R270600006,S000008,T2706000077,鳥取駅,,0,,,0,0,,,
R270600006,S000006,T2706000078,鳥取駅,,0,,,0,0,,,
R270600007,S000004,T2706000079,鳥取駅,,0,,,0,0,,,
R270600007,S000005,T2706000080,鳥取駅,,0,,,0,0,,,
R270600007,S000006,T2706000081,鳥取駅,,0,,,0,0,,,
R270600007,S000008,T2706000082,鳥取駅,,0,,,0,0,,,
R270600008,S000005,T2706000083,鳥取駅,,0,,,0,0,,,
R270600008,S000005,T2706000084,鳥取駅,,0,,,0,0,,,
R270600008,S000004,T2706000085,鳥取駅,,0,,,0,0,,,
R270600008,S000008,T2706000086,鳥取駅,,0,,,0,0,,,
R270600008,S000007,T2706000087,鳥取駅,,0,,,0,0,,,
R270600008,S000006,T2706000088,鳥取駅,,0,,,0,0,,,
R270600009,S000004,T2706000089,鳥取駅,,0,,,0,0,,,
R270600009,S000005,T2706000090,鳥取駅,,0,,,0,0,,,
R270600009,S000006,T2706000091,鳥取駅,,0,,,0,0,,,
R270600009,S000008,T2706000092,鳥取駅,,0,,,0,0,,,
R270600010,S000009,T2706000093,鳥取駅,,0,,,0,0,,,
R270600010,S000010,T2706000094,鳥取駅,,0,,,0,0,,,
R270600010,S000009,T2706000095,鳥取駅,,0,,,0,0,,,
R270600010,S000010,T2706000096,鳥取駅,,0,,,0,0,,,
R270600010,S000009,T2706000097,鳥取駅,,0,,,0,0,,,
R270600010,S000011,T2706000098,鳥取駅,,0,,,0,0,,,
R270600010,S000012,T2706000099,鳥取駅,,0,,,0,0,,,
R270600010,S000011,T2706000100,鳥取駅,,0,,,0,0,,,
R270600010,S000012,T2706000101,鳥取駅,,0,,,0,0,,,
R270600010,S000011,T2706000102,鳥取駅,,0,,,0,0,,,
R270600011,S000009,T2706000103,鳥取駅,,0,,,0,0,,,
R270600011,S000009,T2706000104,鳥取駅,,0,,,0,0,,,
R270600011,S000010,T2706000105,鳥取駅,,0,,,0,0,,,
R270600011,S000009,T2706000106,鳥取駅,,0,,,0,0,,,
R270600011,S000010,T2706000107,鳥取駅,,0,,,0,0,,,
R270600011,S000010,T2706000108,鳥取駅,,0,,,0,0,,,
R270600011,S000009,T2706000109,鳥取駅,,0,,,0,0,,,
R270600011,S000010,T2706000110,鳥取駅,,0,,,0,0,,,
R270600011,S000010,T2706000111,鳥取駅,,0,,,0,0,,,
R270600011,S000009,T2706000112,円護寺,,0,,,0,0,,,
R270600011,S000011,T2706000113,鳥取駅,,0,,,0,0,,,
R270600011,S000011,T2706000114,鳥取駅,,0,,,0,0,,,
R270600011,S000013,T2706000115,鳥取駅,,0,,,0,0,,,
R270600011,S000011,T2706000116,鳥取駅,,0,,,0,0,,,
R270600011,S000012,T2706000117,鳥取駅,,0,,,0,0,,,
R270600011,S000012,T2706000118,鳥取駅,,0,,,0,0,,,
R270600011,S000011,T2706000119,鳥取駅,,0,,,0,0,,,
R270600011,S000013,T2706000120,鳥取駅,,0,,,0,0,,,
R270600011,S000013,T2706000121,鳥取駅,,0,,,0,0,,,
R270600011,S000011,T2706000122,円護寺,,0,,,0,0,,,
R270600012,S000003,T2706000123,砂丘会館,３９鳥取砂丘線（共同運行）,0,,,0,0,,,
R270600012,S000003,T2706000124,砂丘会館,３９鳥取砂丘線（共同運行）,0,,,0,0,,,
R270600012,S000003,T2706000125,砂丘会館,３９鳥取砂丘線（共同運行）,0,,,0,0,,,
R270600012,S000003,T2706000126,砂丘会館,３９鳥取砂丘線（共同運行）,0,,,0,0,,,
R270600012,S000003,T2706000127,砂丘会館,３９鳥取砂丘線（共同運行）,0,,,0,0,,,
R270600012,S000003,T2706000128,砂丘会館,３９鳥取砂丘線（共同運行）,0,,,0,0,,,
R270600012,S000003,T2706000129,砂丘会館,３９鳥取砂丘線（共同運行）,0,,,0,0,,,
R270600012,S000003,T2706000130,砂丘会館,３９鳥取砂丘線（共同運行）,0,,,0,0,,,
R270600012,S000003,T2706000131,砂丘会館,３９鳥取砂丘線（共同運行）,0,,,0,0,,,
R270600012,S000003,T2706000132,砂丘会館,３９鳥取砂丘線（共同運行）,0,,,0,0,,,
R270600012,S000003,T2706000133,砂丘会館,３９鳥取砂丘線（共同運行）,0,,,0,0,,,
R270600012,S000003,T2706000134,砂丘会館,３９鳥取砂丘線（共同運行）,0,,,0,0,,,
R270600012,S000003,T2706000135,鳥取駅,３９鳥取砂丘線（共同運行）,1,,,0,0,,,
R270600012,S000003,T2706000136,鳥取駅,３９鳥取砂丘線（共同運行）,1,,,0,0,,,
R270600012,S000003,T2706000137,鳥取駅,３９鳥取砂丘線（共同運行）,1,,,0,0,,,
R270600012,S000003,T2706000138,鳥取駅,３９鳥取砂丘線（共同運行）,1,,,0,0,,,
R270600012,S000003,T2706000139,鳥取駅,３９鳥取砂丘線（共同運行）,1,,,0,0,,,
R270600012,S000003,T2706000140,鳥取駅,３９鳥取砂丘線（共同運行）,1,,,0,0,,,
R270600012,S000003,T2706000141,鳥取駅,３９鳥取砂丘線（共同運行）,1,,,0,0,,,
R270600012,S000003,T2706000142,鳥取駅,３９鳥取砂丘線（共同運行）,1,,,0,0,,,
R270600012,S000003,T2706000143,鳥取駅,３９鳥取砂丘線（共同運行）,1,,,0,0,,,
R270600012,S000003,T2706000144,鳥取駅,３９鳥取砂丘線（共同運行）,1,,,0,0,,,
R270600012,S000003,T2706000145,鳥取駅,３９鳥取砂丘線（共同運行）,1,,,0,0,,,
R270600012,S000003,T2706000146,鳥取駅,３９鳥取砂丘線（共同運行）,1,,,0,0,,,
R270600013,S000001,T2706000147,鳥取駅,,0,,,0,0,,,
R270600013,S000002,T2706000148,鳥取駅,,0,,,0,0,,,
R270600013,S000002,T2706000149,鳥取駅,,0,,,0,0,,,
R270600013,S000001,T2706000150,鳥取駅,,0,,,0,0,,,
R270600013,S000001,T2706000151,雲山日交［道路沿］,,1,,,0,0,,,
R270600013,S000002,T2706000152,雲山日交［道路沿］,,1,,,0,0,,,
R270600013,S000001,T2706000153,雲山日交［道路沿］,,1,,,0,0,,,
R270600013,S000002,T2706000154,雲山日交［道路沿］,,1,,,0,0,,,
R270600013,S000001,T2706000155,雲山日交［道路沿］,,1,,,0,0,,,
R270600014,S000002,T2706000156,鳥取駅,,0,,,0,0,,,
R270600014,S000001,T2706000157,鳥取駅,,0,,,0,0,,,
R270600014,S000002,T2706000158,鳥取駅,,0,,,0,0,,,
R270600014,S000003,T2706000159,鳥取駅,,0,,,0,0,,,
R270600014,S000003,T2706000160,鳥取駅,,0,,,0,0,,,
R270600014,S000003,T2706000161,鳥取駅,,0,,,0,0,,,
R270600014,S000003,T2706000162,鳥取駅,,0,,,0,0,,,
R270600014,S000001,T2706000163,鳥取駅,,0,,,0,0,,,
R270600014,S000003,T2706000164,鳥取駅,,0,,,0,0,,,
R270600014,S000003,T2706000165,鳥取駅,,0,,,0,0,,,
R270600014,S000001,T2706000166,鳥取駅,,0,,,0,0,,,
R270600014,S000002,T2706000167,鳥取駅,,0,,,0,0,,,
R270600014,S000001,T2706000168,鳥取駅,,0,,,0,0,,,
R270600014,S000002,T2706000169,市立病院（鳥取市）,,1,,,0,0,,,
R270600014,S000003,T2706000170,市立病院（鳥取市）,,1,,,0,0,,,
R270600014,S000001,T2706000171,市立病院（鳥取市）,,1,,,0,0,,,
R270600014,S000003,T2706000172,市立病院（鳥取市）,,1,,,0,0,,,
R270600014,S000003,T2706000173,市立病院（鳥取市）,,1,,,0,0,,,
R270600014,S000003,T2706000174,市立病院（鳥取市）,,1,,,0,0,,,
R270600014,S000001,T2706000175,市立病院（鳥取市）,,1,,,0,0,,,
R270600014,S000003,T2706000176,市立病院（鳥取市）,,1,,,0,0,,,
R270600014,S000003,T2706000177,市立病院（鳥取市）,,1,,,0,0,,,
R270600014,S000002,T2706000178,市立病院（鳥取市）,,1,,,0,0,,,
R270600014,S000002,T2706000179,市立病院（鳥取市）,,1,,,0,0,,,
R270600014,S000002,T2706000180,市立病院（鳥取市）,,1,,,0,0,,,
R270600015,S000001,T2706000181,鳥取駅,,0,,,0,0,,,
R270600015,S000001,T2706000182,鳥取駅,,0,,,0,0,,,
R270600015,S000001,T2706000183,鳥取駅,,0,,,0,0,,,
R270600015,S000001,T2706000184,鳥取駅,,0,,,0,0,,,
R270600015,S000001,T2706000185,鳥取駅,,0,,,0,0,,,
R270600015,S000001,T2706000186,鳥取駅,,0,,,0,0,,,
R270600015,S000002,T2706000187,鳥取駅,,0,,,0,0,,,
R270600015,S000002,T2706000188,市立病院（鳥取市）,,1,,,0,0,,,
R270600015,S000001,T2706000189,市立病院（鳥取市）,,1,,,0,0,,,
R270600015,S000001,T2706000190,市立病院（鳥取市）,,1,,,0,0,,,
R270600015,S000001,T2706000191,市立病院（鳥取市）,,1,,,0,0,,,
R270600015,S000001,T2706000192,市立病院（鳥取市）,,1,,,0,0,,,
R270600015,S000001,T2706000193,市立病院（鳥取市）,,1,,,0,0,,,
R270600015,S000001,T2706000194,市立病院（鳥取市）,,1,,,0,0,,,
R270600016,S000002,T2706000195,鳥取駅,,0,,,0,0,,,
R270600016,S000001,T2706000196,鳥取駅,,0,,,0,0,,,
R270600016,S000003,T2706000197,鳥取駅,,0,,,0,0,,,
R270600017,S000002,T2706000198,倉田保育園前,,0,,,0,0,,,
R270600017,S000003,T2706000199,倉田保育園前,,0,,,0,0,,,
R270600017,S000002,T2706000200,倉田保育園前,,0,,,0,0,,,
R270600017,S000002,T2706000201,鳥取駅,,1,,,0,0,,,
R270600017,S000003,T2706000202,鳥取駅,,1,,,0,0,,,
R270600017,S000002,T2706000203,鳥取駅,,1,,,0,0,,,
R270600018,S000002,T2706000204,倉田保育園前,,0,,,0,0,,,
R270600018,S000001,T2706000205,鳥取駅,,1,,,0,0,,,
R270600018,S000002,T2706000206,鳥取駅,,1,,,0,0,,,
R270600019,S000001,T2706000207,市立病院（鳥取市）,,0,,,0,0,,,
R270600019,S000002,T2706000208,市立病院（鳥取市）,,0,,,0,0,,,
R270600019,S000001,T2706000209,市立病院（鳥取市）,,0,,,0,0,,,
R270600019,S000003,T2706000210,鳥取駅,,1,,,0,0,,,
R270600019,S000001,T2706000211,鳥取駅,,1,,,0,0,,,
R270600020,S000003,T2706000212,若桜車庫,,0,,,0,0,,,
R270600020,S000003,T2706000213,若桜車庫,,0,,,0,0,,,
R270600020,S000003,T2706000214,若桜車庫,,0,,,0,0,,,
R270600020,S000002,T2706000215,鳥取駅,,1,,,0,0,,,
R270600020,S000002,T2706000216,鳥取駅,,1,,,0,0,,,
